ANO_MES,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2007-06,35.6,14.88495077355837,73.38959212376933
2007-07,161.2,11.044864864864865,78.60945945945946
2007-08,65.8,13.134636118598383,80.69811320754717
2007-09,319.2,18.349305555555556,76.24305555555556
2007-10,219.2,19.9814266487214,78.1870794078062
2007-11,101.8,20.03565768621236,62.366085578446906
2007-12,66.4,23.73709677419355,63.16263440860215
2008-01,125.8,23.361155913978497,69.12096774193549
2008-02,80.2,22.548988439306356,72.92196531791907
2008-03,78.8,21.61655450874832,76.64199192462988
2008-04,107.4,18.48236111111111,72.38888888888889
2008-05,75.0,15.101780821917806,72.01917808219179
2008-06,206.2,12.097214484679665,80.91364902506963
2008-07,83.8,16.197849462365593,78.03763440860214
2008-08,126.0,14.784408602150538,80.91397849462365
2008-09,75.8,14.166805555555555,75.75277777777778
2008-10,413.6,18.326344086021503,78.62231182795699
2008-11,149.6,21.96875,65.3638888888889
2008-12,95.2,23.10336473755047,63.89098250336474
2009-01,144.2,21.815456989247313,75.22446236559139
2009-02,59.2,22.93407738095238,78.64285714285714
2009-03,14.0,22.099730820995962,76.65814266487214
2009-04,5.6,20.366805555555555,65.49305555555556
2009-05,164.4,17.059543010752687,72.2741935483871
2009-06,45.6,11.30638888888889,80.98333333333333
2009-07,129.2,10.772580645161291,77.55779569892474
2009-08,268.6,15.409274193548388,77.85483870967742
2009-09,353.2,15.090694444444443,84.30555555555556
2009-10,131.4,18.479027777777777,75.1
2009-11,381.6,23.122638888888886,78.025
2009-12,148.0,23.525134408602153,73.84005376344086
2010-01,258.2,23.195956873315367,81.05795148247978
2010-02,109.2,23.986904761904764,80.41964285714286
2010-03,55.4,22.109017496635264,77.9313593539704
2010-04,186.2,18.94402777777778,72.59027777777777
2010-05,147.0,14.865725806451614,83.6263440860215
2010-06,117.4,14.155694444444444,80.71666666666667
2010-07,217.0,13.10268817204301,81.12903225806451
2010-08,24.0,13.324764468371466,79.0107671601615
2010-09,288.6,15.959583333333333,81.75
2010-10,89.6,17.205779569892474,72.15994623655914
2010-11,84.39999999999999,20.455000000000002,61.543055555555554
2010-12,170.2,22.813306451612902,69.02956989247312
2011-01,69.2,24.035483870967745,77.96505376344086
2011-02,322.0,22.738690476190477,84.86458333333333
2011-03,215.4,21.146457765667574,77.96185286103542
2011-04,234.6,19.504583333333333,73.70277777777778
2011-05,103.2,15.316464237516868,79.09851551956815
2011-06,166.8,12.411666666666665,81.6763888888889
2011-07,210.8,12.664333781965007,81.11170928667563
2011-08,202.8,13.679569892473118,81.75940860215054
2011-09,49.4,15.95486111111111,72.825
2011-10,196.0,18.796635262449527,72.28532974427995
2011-11,83.0,21.524166666666666,61.87638888888889
2011-12,24.400000000000002,22.313978494623655,59.971774193548384
2012-01,47.4,24.064872139973083,63.43472409152086
2012-02,0.0,25.805882352941175,63.23529411764706
2012-03,11.4,19.7,61.653944020356235
2012-04,55.4,18.763143254520166,69.68984700973574
2012-05,20.0,16.95712365591398,69.38037634408602
2012-06,60.4,13.695,78.75972222222222
2012-07,189.6,11.965456989247311,77.90322580645162
2012-08,62.0,17.22054054054054,76.48918918918919
2012-09,197.6,16.607916666666668,75.48611111111111
2012-10,297.0,19.1127688172043,77.78225806451613
2012-11,83.4,22.729166666666668,59.43055555555556
2012-12,378.6,23.668102288021537,74.08882907133244
2013-01,95.0,22.03454301075269,71.95161290322581
2013-02,127.0,21.969494047619047,78.85119047619048
2013-03,203.6,19.172727272727272,79.71349862258953
2013-04,124.39999999999999,18.872739916550763,70.0653685674548
2013-05,122.2,15.295564516129032,76.98790322580645
2013-06,70.4,13.812674094707521,84.4275766016713
2013-07,72.8,12.55908479138627,78.03768506056528
2013-08,183.0,11.794623655913979,79.04166666666667
2013-09,127.2,15.344999999999999,77.7125
2013-10,129.2,18.285464333781967,70.86944818304173
2013-11,140.2,21.88458333333333,64.325
2013-12,144.20000000000002,24.212096774193547,65.96236559139786
2014-01,195.4,23.714247311827958,76.75
2014-02,157.6,23.46220238095238,74.19940476190476
2014-03,139.4,20.568010752688174,76.16801075268818
2014-04,142.0,19.2975,74.6763888888889
2014-05,244.6,15.047043010752688,83.52956989247312
2014-06,349.2,13.566527777777777,85.2
2014-07,166.8,13.800672043010753,79.30645161290323
2014-08,80.8,14.971774193548388,75.01209677419355
2014-09,348.6,16.9525,83.62222222222222
2014-10,217.0,20.27200538358008,73.17227456258412
2014-11,77.2,22.044305555555557,64.25277777777778
2014-12,155.4,22.49220430107527,71.40322580645162
2015-01,177.0,22.634139784946235,80.47849462365592
2015-02,154.6,22.288988095238096,80.84821428571429
2015-03,105.4,21.761021505376345,76.58064516129032
2015-04,204.8,19.29347222222222,73.74166666666666
2015-05,195.0,16.246908602150537,80.66935483870968
2015-06,270.8,14.265694444444444,81.0111111111111
2015-07,245.6,13.561290322580646,86.13575268817205
2015-08,99.8,17.852893674293405,74.59488559892328
2015-09,141.0,16.195416666666667,75.9375
2015-10,194.4,18.517473118279568,77.84677419354838
2015-11,163.6,20.004583333333333,74.75833333333334
2015-12,512.4,21.933870967741935,80.03629032258064
2016-01,193.2,23.99744279946164,73.74966352624496
2016-02,108.0,23.357040229885058,82.35201149425288
2016-03,195.0,20.148118279569893,79.77822580645162
2016-04,133.6,20.75777777777778,77.5111111111111
2016-05,50.2,13.614381720430108,82.26344086021506
2016-06,7.0,10.366666666666667,75.43333333333334
2016-07,130.2,12.98521505376344,79.93682795698925
2016-08,112.8,14.615881561238224,77.43606998654106
2016-09,55.0,14.6,72.7375
2016-10,317.8,18.12983870967742,73.88709677419355
2016-11,198.8,20.200277777777778,63.61944444444445
2016-12,132.6,22.579435483870967,70.58064516129032
2017-01,229.8,22.57755376344086,80.81989247311827
2017-02,158.0,22.70654761904762,82.35267857142857
2017-03,157.4,21.39475806451613,76.99596774193549
2017-04,253.2,18.108194444444443,74.42222222222222
2017-05,409.4,16.36720430107527,85.59408602150538
2017-06,138.2,14.197638888888887,80.27361111111111
2017-07,10.2,14.775908479138627,65.03768506056528
2017-08,118.2,15.3875,74.38306451612904
2017-09,102.6,19.290277777777778,73.89444444444445
2017-10,174.6,18.456989247311828,73.53091397849462
2017-11,196.0,19.94888888888889,60.84861111111111
2017-12,102.8,23.053763440860216,68.5510752688172
2018-01,361.2,22.054435483870968,78.2513440860215
2018-02,82.8,21.355505952380952,76.61011904761905
2018-03,240.4,20.97728494623656,75.9758064516129
2018-04,54.6,21.794871794871796,72.48878205128206
2018-05,102.4,16.343413978494624,78.09005376344086
2018-06,82.4,11.723611111111111,83.24861111111112
2018-07,72.2,12.879569892473118,84.00940860215054
2018-08,88.2,11.774966352624494,80.50605652759084
2018-09,178.0,17.136527777777776,80.13055555555556
2018-10,179.2,18.456854838709678,74.11827956989248
2018-11,257.6,21.720972222222223,65.62638888888888
2018-12,76.4,22.233870967741936,66.77150537634408
2019-01,266.2,23.731048387096777,79.75403225806451
2019-02,113.0,21.52782738095238,77.37053571428571
2019-03,111.8,20.351413189771197,74.69179004037684
2019-04,110.4,20.093194444444446,78.00833333333334
2019-05,305.4,16.846236559139786,86.54838709677419
2019-06,62.4,16.295555555555556,76.41388888888889
2019-07,129.0,12.004704301075268,78.33736559139786
2019-08,75.2,13.213575268817204,76.04166666666667
2019-09,3.4,9.84074074074074,72.03703703703704
2019-10,128.0,20.838839285714283,60.75
2019-12,36.6,23.79422043010753,58.401881720430104
2020-01,144.2,23.385752688172044,74.47177419354838
2020-02,33.8,22.217241379310344,73.26724137931035
2020-03,19.6,23.819324324324324,60.32297297297297
2020-04,38.199999999999996,18.45271210013908,63.71627260083449
2020-05,204.0,14.976881720430107,72.02016129032258
2020-06,279.4,14.971944444444443,81.81388888888888
2020-07,273.4,12.362903225806452,80.47043010752688
2020-08,107.6,15.1372311827957,73.3763440860215
2020-09,83.6,16.79347222222222,77.29722222222222
2020-10,37.8,19.976344086021506,64.50268817204301
2020-11,54.0,21.362447844228097,62.426981919332405
2020-12,119.6,22.879217273954115,68.29959514170041
2021-01,193.6,22.551131221719455,80.64856711915536
2021-02,65.2,21.27261904761905,78.69642857142857
2021-03,104.0,21.06760752688172,79.79704301075269
2021-04,46.4,19.03736111111111,71.67777777777778
2021-05,215.4,14.039516129032258,74.65322580645162
2021-06,138.6,12.684166666666668,83.13194444444444
2021-07,14.0,12.457795698924732,70.77284946236558
2021-08,164.2,15.617741935483872,75.71102150537635
2021-09,166.2,16.956805555555555,82.10416666666667
2021-10,238.4,18.469354838709677,73.07661290322581
2021-11,22.6,22.050906555090656,62.58577405857741
2021-12,57.0,23.766576819407007,61.08355795148248
2022-01,60.0,25.77638326585695,62.38461538461539
2022-02,96.8,23.953662182361732,64.67414050822123
2022-03,184.4,20.69541160593792,78.64912280701755
2022-04,196.4,18.100416666666664,79.07083333333334
2022-05,217.0,13.499731182795697,84.96774193548387
2022-06,195.2,11.897486033519554,84.18715083798882
2022-07,110.6,16.73360433604336,76.34552845528455
2022-08,88.6,13.580323450134772,79.66172506738545
2022-09,75.0,14.176527777777778,77.93611111111112
2022-10,107.2,17.081586021505377,75.48521505376344
2022-11,37.2,20.094334277620398,60.1657223796034
2022-12,68.2,23.82921195652174,62.26358695652174
